month;id;name;type;data_status;unique_users;net_reach;unique_clients;visits;impressions;impressions_at_percent;usetime_seconds;usetime_formatted;impressions_per_visits
2025-05-01;188;"tele.at";service;OK;272233;3.773;343872;2221144;8262120;95.34;174;02:54;3.72
2025-05-01;184;"arboe.at";service;OK;0;0;0;3;10;100.00;4;00:04;3.33
2025-05-01;148;"willhaben.at";service;OK;4163285;57.703;6918065;91280656;1347771022;93.10;548;09:08;14.77
2025-05-01;103;"skysportaustria.at - Sky Österreich";service;OK;566863;7.857;608980;1724458;4633476;95.99;179;02:59;2.69
2025-05-01;88;"ligaportal.at";service;OK;998388;13.838;1146938;11698542;97746934;97.06;525;08:45;8.36
2025-05-01;84;"kleinezeitung.at";service;OK;2664064;36.924;3975090;21543297;112143385;93.98;285;04:45;5.21
2025-05-01;83;"diepresse.com";service;OK;1993113;27.625;2834525;11039938;27160475;89.22;234;03:54;2.46
2025-06-01;1;"austria.com/plus";adnetwork;OK;4528002;62.758;10715738;64012235;228681890;91.05;235;03:55;3.57
2025-06-01;177;"bvz.at";service;OK;263441;3.651;312029;703558;3877243;94.03;153;02:33;5.51
2025-06-01;146;"tvheute.at - das TV-Magazin";service;OK;501708;6.954;738070;3872970;14912167;91.71;169;02:49;3.85
2025-06-01;126;"tt.com";service;OK;1507897;20.899;2426293;8917457;27093097;86.13;198;03:18;3.04
2025-06-01;123;"regionaljobs.at";service;OK;66349;0.92;111145;152007;495256;87.80;176;02:56;3.26
2025-06-01;122;"tips.at";service;OK;1414618;19.607;1908962;5259297;7874708;89.13;159;02:39;1.50
2025-06-01;81;"sn.at - Salzburger Nachrichten";service;OK;1487498;20.617;2480139;5995787;19639989;85.38;178;02:58;3.28
2025-06-01;80;"salzburg24.at";service;OK;759807;10.531;1059700;5053891;21407259;92.64;195;03:15;4.24
2025-06-01;64;"nachrichten.at - Nachrichten.at";service;OK;1860767;25.79;2528045;10374881;31894914;92.81;209;03:29;3.07
2025-06-01;54;"noen.at - NÖN";service;OK;1247403;17.289;1619791;5908982;32082862;95.60;168;02:48;5.43
2025-06-01;4;"vol.at - VORARLBERG ONLINE";service;OK;1588614;22.018;2327225;15837642;45664120;91.87;309;05:09;2.88
2025-06-01;3;"vienna.at - VIENNA ONLINE";service;OK;962241;13.337;1181065;2212461;4235578;90.82;156;02:36;1.91
2025-06-01;2;"Goldbach Audience";adnetwork;OK;3797844;52.638;7001008;39271805;133620576;93.34;255;04:15;3.40
2025-06-01;1601;"5min.at";service;OK;1760198;24.396;2482030;8075773;13251222;96.09;187;03:07;1.64
2025-06-01;1395;"motorrad-magazin.at";service;OK;9547;0.132;71256;84023;109216;29.75;76;01:16;1.30
2025-06-01;391;"yesss.at";service;OK;76976;1.067;73985;165152;492302;92.54;271;04:31;2.98
2025-06-01;376;"world.a1.net";service;OK;188233;2.609;233126;1785323;3486666;96.97;488;08:08;1.95
2025-06-01;349;"mail.a1.net";service;OK;141459;1.961;152325;1352989;8090179;94.26;216;03:36;5.98
2025-06-01;40;"kronehit.at";service;OK;184105;2.552;245930;607065;1443489;85.00;217;03:37;2.38
2025-06-01;34;"heute.at";service;OK;3343880;46.346;5314325;28906444;106747502;93.15;257;04:17;3.69
2025-06-01;4;"COPE";adnetwork;OK;5175672;71.735;12346121;124781995;1356574582;92.86;453;07:33;10.87
2025-06-01;601;"styleupyourlife.at";service;OK;60955;0.845;121194;145837;286743;76.29;130;02:10;1.97
2025-06-01;188;"tele.at";service;OK;240596;3.335;318101;1968349;7353945;94.98;178;02:58;3.74
2025-06-01;184;"arboe.at";service;OK;0;0;0;0;2;0.00;0;00:00;0.00
2025-06-01;148;"willhaben.at";service;OK;3848598;53.342;6425632;82665084;1152540651;92.81;529;08:49;13.94
2025-06-01;103;"skysportaustria.at - Sky Österreich";service;OK;366035;5.073;460111;1253312;2095208;94.13;132;02:12;1.67
2025-06-01;88;"ligaportal.at";service;OK;837814;11.612;977939;6831448;45591386;96.12;507;08:27;6.67
