month;id;name;type;data_status;unique_users;net_reach;unique_clients;visits;impressions;impressions_at_percent;usetime_seconds;usetime_formatted;impressions_per_visits
2021-11-01;139;"uwz.at";service;OK;64054;0.945;80795;257812;502483;97.46;240;04:00;1.95
2021-11-01;140;"wetter.tv";service;OK;38801;0.572;49195;165618;292810;77.45;174;02:54;1.77
2021-11-01;146;"tvheute.at - das TV-Magazin";service;OK;536709;7.916;811343;3850110;15024474;93.96;171;02:51;3.90
2021-11-01;148;"willhaben.at";service;OK;4251699;62.709;7808047;83205471;1481051706;94.33;585;09:45;17.80
2021-11-01;151;"MeinBezirk.at";service;OK;2417725;35.66;3832285;10001413;35628103;92.87;166;02:46;3.56
2021-11-01;152;"minimed.at";service;OK;228483;3.37;1264594;1649314;1993734;21.06;206;03:26;1.21
2021-11-01;177;"bvz.at";service;OK;199285;2.939;293854;650974;2016143;93.17;150;02:30;3.10
2021-11-01;179;"krone.at";service;OK;3427109;50.547;8225420;68200129;216229639;91.60;358;05:58;3.17
2021-11-01;184;"arboe.at";service;OK;49275;0.727;64584;82520;210129;91.76;201;03:21;2.55
2021-11-01;185;"apo24.at";service;OK;83014;1.224;105738;142814;269736;96.12;164;02:44;1.89
2021-11-01;186;"auskunft.at";service;OK;10739;0.158;16636;26839;380395;77.15;669;11:09;14.17
2021-11-01;187;"drei.at";service;OK;837548;12.353;1170081;6563810;20070763;97.02;379;06:19;3.06
2021-11-01;188;"tele.at";service;OK;267309;3.943;328743;2127399;9797697;95.76;215;03:35;4.61
2021-11-01;189;"oefb.at";service;OK;433699;6.397;628125;1683573;16405199;88.91;234;03:54;9.74
2021-11-01;230;"miss.at";service;OK;323124;4.766;1262968;2241356;3886915;46.42;122;02:02;1.73
2021-12-01;2;"ausschreibung.at - Ausschreibungen für die Bauwirtschaft";service;OK;11136;0.164;11714;26514;102491;88.92;252;04:12;3.87
2021-12-01;3;"vienna.at - VIENNA ONLINE";service;OK;1406736;20.748;2024794;4638394;8610375;86.76;168;02:48;1.86
2021-12-01;4;"vol.at - VORARLBERG ONLINE";service;OK;1032076;15.222;1662886;12029785;47005289;90.82;311;05:11;3.91
2021-12-01;7;"automobile.at";service;OK;67022;0.989;103592;130676;483637;74.22;184;03:04;3.70
2021-12-01;8;"bdb.at - BAUDATENBANK.AT - Partner der Bauwirtschaft";service;OK;8628;0.127;14236;17446;27026;77.41;120;02:00;1.55
2021-12-01;9;"cineplexx.at";service;OK;452045;6.667;572316;1148625;4484153;94.49;242;04:02;3.90
2021-12-01;13;"gastronews.wien - Gastro News Wien";service;OK;4099;0.06;6868;8703;16011;75.84;161;02:41;1.84
2021-12-01;14;"derstandard.at - derStandard.at";service;OK;3427551;50.554;7566512;47132560;166548130;89.71;400;06:40;3.53
2021-12-01;18;"elektro.at ";service;OK;8882;0.131;23983;31886;45781;30.93;148;02:28;1.44
2021-12-01;19;"falstaff.at";service;OK;405688;5.984;594197;1232087;4298627;81.20;154;02:34;3.49
2021-12-01;20;"falter.at ";service;OK;465956;6.873;714029;1355406;3528612;88.57;199;03:19;2.60
2021-12-01;23;"feratel Panoramakameras";service;OK;743929;10.972;5672000;16329516;69458799;15.04;178;02:58;4.25
2021-12-01;24;"finanzen.at";service;OK;287102;4.235;387696;1486969;4594597;84.16;257;04:17;3.09
2021-12-01;25;"finanzen.net - Finanzen AT";service;OK;24509;0.361;29364;84853;593527;93.71;196;03:16;6.99
2021-12-01;27;"fondsprofessionell.at - FONDS professionell";service;OK;41468;0.612;54260;110503;368393;78.51;263;04:23;3.33
2021-12-01;28;"gutekueche.at";service;OK;2779612;40.997;11001481;22884800;41437928;36.58;200;03:20;1.81
2021-12-01;29;"gmx.at - GMX.at";service;OK;2424793;35.764;3196410;70957831;352699648;96.73;354;05:54;4.97
2021-12-01;30;"gmx.net - GMX.at";service;OK;1292552;19.064;1623458;13288491;146807834;95.95;437;07:17;11.05
2021-12-01;32;"gofeminin.de - gofeminin.at";service;OK;0;0;0;8;9;100.00;5;00:05;1.13
2021-12-01;34;"heute.at";service;OK;3956935;58.362;8230006;45889444;147423674;91.35;212;03:32;3.21
2021-12-01;37;"industriemagazin.at - Das österreichische Industriemagazin";service;OK;13551;0.2;31107;42037;65900;66.14;146;02:26;1.57
2021-12-01;38;"kosmo.at";service;OK;164100;2.42;383621;686282;974613;59.11;161;02:41;1.42
2021-12-01;40;"kronehit.at";service;OK;186191;2.746;303435;868513;1842210;87.63;247;04:07;2.12
